Date,Temperature
2000,88.13
2001,87.54
2002,81.99
2003,88.75
2004,88.78
2005,89.31
2006,88.78
2007,86.75
2008,87.14
2009,85.94
2010,84.37
2011,78.96
2012,91.1
2013,83.36
2014,83.3
2015,93.1
